asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations
B0BQ118F2T,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,99.0,169.99,4.0,1319,16,69.88,False,False,True,False,4000,"FREE delivery Tue, Sep 24 Only 1 left in stock - order soon.",False
B0CV2W1TKZ,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Ring Grip Case Bundle) (Light Blue)",153.99,153.99,4.2,186,4,147.5,False,False,True,False,1000,"FREE delivery Tue, Sep 24",False
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",69.0,99.99,3.8,597,35,64.99,False,False,True,False,2000,"FREE delivery Tue, Sep 24",True
B0CHH1N9VY,TracFone | Motorola Moto g Pure | Locked | 32GB | 4000 mAh Battery | 13 MP Dual Camera System | 6.5&quot; Max Vision HD+ Display | Blue,49.99,49.99,4.2,2814,3,43.99,False,False,True,False,500,"FREE delivery Tue, Sep 24",False
B09T3MQSVP,"Samsung Galaxy A13 5G Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",88.09,98.27,3.8,1338,31,70.4,False,False,True,False,500,"FREE delivery Mon, Sep 30",False
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",49.99,59.99,4.4,3843,3,25.19,False,True,True,False,4000,"FREE delivery Tue, Sep 24",False
B0C2SWQBMB,"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39",149.99,249.99,4.2,2637,8,100.72,False,False,True,False,2000,"FREE delivery Tue, Sep 24",True
B0CTD47P22,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Blue,149.5,158.0,4.2,253,9,146.5,False,False,True,False,500,"FREE delivery Tue, Sep 24",False
B0CSB14R7J,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black,139.99,139.99,4.3,573,15,136.62,False,False,True,False,1000,"FREE delivery Tue, Sep 24",False
B0CHK6LWKZ,TracFone | Samsung Galaxy A03s | Locked | 32GB | 5000mAh Battery | 48MP Main Camera | 6.5-in. HD+Infinity-V Display | Black,59.99,59.99,4.0,258,4,50.48,False,False,True,False,1000,"FREE delivery Tue, Sep 24",False
B0C5BMB1WB,Motorola One Ace | 2021 | 2-Day Battery | Unlocked | Made for US 4/64GB | 48MP Camera | Volcanic Gray,89.0,89.0,4.0,204,10,85.44,False,False,True,False,1000,"FREE delivery Tue, Sep 24",False
B0CRVWPWKP,Samsung Galaxy A25 5G A256E 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin Variant/US Compatible LTE) - Blue,195.0,195.0,4.0,259,15,164.5,False,False,True,False,400,"FREE delivery Wed, Sep 25",True
B0CN1QSH8Q,"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",199.99,199.99,4.0,610,2,154.0,False,False,True,True,2000,"FREE delivery Tue, Sep 24",True
B0C22BRGLG,OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7&quot; LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray,249.99,299.99,4.3,963,5,209.28,False,False,True,False,1000,"FREE delivery Tue, Sep 24",False
B09NZQJRN7,"VTech DECT 6.0 Cordless Phone - Blue Display, Big Buttons, Speakerphone, Caller ID, Easy Wall Mount, 1000ft Range - White/Grey",18.45,18.45,4.3,9096,2,13.84,False,False,True,False,2000,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False
B09LKXHWCF,"Apple iPhone 13 Mini, 128GB, Blue - Unlocked (Renewed)",355.81,415.0,4.1,4265,20,303.99,False,False,False,True,500,"FREE delivery Tomorrow, Sep 20",True
B0BQ118F2T,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,99.0,169.99,4.0,1319,16,69.88,False,False,True,False,4000,"FREE delivery Tue, Sep 24 Only 3 left in stock - order soon.",False
B0CRVWPWKP,Samsung Galaxy A25 5G A256E 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin Variant/US Compatible LTE) - Blue,194.99,194.99,4.0,259,15,164.5,False,False,True,False,400,"FREE delivery Wed, Sep 25",True
B085TCRFST,"Alcatel 1 (16GB) 5.0&quot; Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US &amp; Global 4G LTE International Version 5033E (Bluish Black)",41.99,44.7,3.6,2048,7,29.7,False,False,True,False,1000,"FREE delivery Tue, Sep 24",False
B096T6Y623,"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",269.99,294.0,3.9,2362,69,244.99,False,False,True,True,2000,"FREE delivery Tue, Sep 24",True
B0CMDL3H3V,"SAMSUNG Galaxy S24+ Plus Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black",798.0,999.99,4.5,615,2,741.99,False,False,True,True,1000,"$10.33 delivery Fri, Oct 4",True
B0CSB22F9C,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",149.94,149.94,4.1,874,14,123.7,False,False,True,False,4000,"FREE delivery Wed, Sep 25 Only 6 left in stock - order soon.",False
B0D5T7318W,Bold K10 | 2024 | 3-Day Battery | Unlocked | 6.6” HD+ Infinity Display | 128/4GB | Triple 50MP Camera | US Version | US Warranty | Black,99.99,99.99,3.6,17,6,98.97,False,False,True,False,200,"FREE delivery Tue, Sep 24",False
B086QCGQ8C,"AT&amp;T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",78.95,78.95,4.3,27240,3,38.25,False,False,False,False,3000,FREE delivery,False
